,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
686,Ford Ecosport ,PLATINUM,Chennai,693999,90001,Diesel,1st,2017,Ford
687,Hyundai EON Era,PLATINUM,Chennai,310999,45285,Petrol,2nd,2016,Hyundai
688,Maruti Suzuki Ciaz,PLATINUM,Bangalore,722199,42441,Petrol,2nd,2016,Maruti
689,Maruti Suzuki Celerio,PLATINUM,Bangalore,485099,24342,Petrol,3rd,2016,Maruti
690,Maruti Suzuki Dzire,PLATINUM,Chennai,614999,14308,Petrol,2nd,2017,Maruti
691,Maruti Suzuki Vitara,PLATINUM,Pune,1061399,32456,Diesel,2nd,2018,Maruti
692,Maruti Suzuki S,PLATINUM,Pune,879699,58448,Diesel,1st,2018,Maruti
693,Maruti Suzuki Ertiga,PLATINUM,Chennai,755199,86576,Diesel,2nd,2016,Maruti
694,Ford Ecosport ,PLATINUM,Bangalore,816399,50421,Petrol,2nd,2018,Ford
695,Maruti Suzuki Eeco,PLATINUM,Chennai,414299,26035,Petrol,2nd,2017,Maruti
696,Tata Tiago ,PLATINUM,Chennai,476299,23499,Petrol,2nd,2018,Tata
697,Maruti Suzuki Baleno,PLATINUM,Chennai,572599,25636,Petrol,2nd,2016,Maruti
698,Kia Seltos ,PLATINUM,Bangalore,1644799,15023,Petrol,2nd,2019,Kia
699,Kia Carnival ,GOLD,Chennai,1500000,50000,Diesel,1st,2020,Kia
700,Hyundai Creta ,GOLD,Chennai,1000000,12000,Petrol,1st,2021,Hyundai
